Station,Fork.,Selskab,Status,Strækning,Bemærkninger
Ny Ellebjerg (nær),Nel,Banedanmark,P,Kh (nær)-Kj (nær), Ig (nær)-Hl (nær),Trinbræt. Lave del ligger på Vigerslev (nær)
Ny Hagested,Hgt,Lokaltog A/S,P,Hk-Nk,Trinbræt
Nyborg,Ng,Banedanmark,P,Kh-Fa/Tl,Station
Nykøbing F,Nf,Banedanmark,P,Rg-Rf, Nf-Ge,Station
Nykøbing F Vest,Nfv,Banedanmark,÷ P,Rg-Rf, Nfv-Nsk,Station
Nykøbing Sj.,Nk,Lokaltog A/S,P,Hk-Nk,Station
Nyled,Ndt,Lokaltog A/S,P,Hk-Nk,Trinbræt
Nyrup,Nyp,Lokaltog A/S,P,Tø-Sg,Trinbræt
Nærum,Nær,Lokaltog A/S,P,Jæt-Nær,Station
Næstved,Næ,Banedanmark,P,Rg-Rf, Ro-Kj-Næ,Station
Næstved Nord,Næn,Banedanmark,P,Ro-Kj-Næ,Trinbræt
Nørgaardsvej,Nøv,Lokaltog A/S,P,Jæt-Nær,Trinbræt
Nørre Alslev,Nv,Banedanmark,P,Rg-Rf,Station
Nørre Nebel,Nbl,VNJ,P,Va-Nbl,Station
Nørre Aaby,Na,Banedanmark,P,Kh-Fa/Tl,Trinbræt
Nørrebro,Nø,Banedanmark,P,Ig (nær)-Hl (nær),Trinbræt
Nørreport,Kn,Banedanmark,P,Kh-Hg,Trinbræt
Nørreport (nær),Kn,Banedanmark,P,Kh (nær)-Gj,Trinbræt
Oddesund Nord,No,Banedanmark,P,Str-Ti,Trinbræt
Oddesundbroen,-,Banedanmark,÷ P,Str-Ti,Oplukkelig bro
Odense,Od,Banedanmark,P,Kh-Fa/Tl, Od-Svg,Station
Odense Sygehus,Oss,Banedanmark,P,Od-Svg,Trinbræt
Oksbøl,Ox,VNJ,P,Va-Nbl,Station
Oksbøl Syd,Oxs,Forsvaret,÷ P,Va-Nbl,Sidespor på Hesselmed station
Ordrup,Op,Banedanmark,P,Hl (nær)-Kl (nær),Trinbræt
Orehoved,Oh,Banedanmark,÷ P,Rg-Rf,Station
Outrup,Ou,VNJ,P,Va-Nbl,Station
Padborg,Pa,Banedanmark,P,Fa-Pa,Station
Peberholm,Phm,Banedanmark,÷ P,Kh/Hif-Phm,Station
Pederstrup,Pds,Banedanmark,P,Od-Svg,Trinbræt
Peter Bangsvej,Pbt,Banedanmark,P,Val (nær)-Fs,Trinbræt
Pårup,Ppg,Lokaltog A/S,P,Kgg-Gll,Trinbræt
Ramme,Ram,Midtjyske Jernbaner,P,Vem-Thb,Station
Randers,Rd,Banedanmark,P,Ar-Ab,Station
Ravnholm,Rvh,Lokaltog A/S,P,Jæt-Nær,Trinbræt
Ravnstrup,Ra,Banedanmark,÷ P,Lg-Str,Station
Regstrup,Rt,Banedanmark,P,Ro-Kb,Station
Rejsby,Rej,Banedanmark,P,Bm-Tdgr,Trinbræt
Ribe,Rb,Banedanmark,P,Bm-Tdgr,Station
Ribe Nørremark,Rbn,Banedanmark,P,Bm-Tdgr,Trinbræt
Rimmen,Rim,Nordjyske Jernbaner,P,Fh-Sgb,Trinbræt
Rindsholm,Rn,Banedanmark,÷ P,Lg-Str,Station
Ringe,Re,Banedanmark,P,Od-Svg,Station
Ringkøbing,Rj,Banedanmark,P,Es-Str,Station
Ringsted,Rg,Banedanmark,P,Kh-Fa/Tl, Rg-Rf,Station
Roskilde,Ro,Banedanmark,P,Kh-Fa/Tl, Ro-Kj-Næ, Ro-Kb,Station
Rudme,Rus,Banedanmark,P,Od-Svg,Trinbræt
Ruds Vedby,Rsb,Lokaltog A/S,P,Tø-Sg,Station
Rungsted Kyst,Ru,Banedanmark,P,Kh-Hg,Station
Ry,Ry,Banedanmark,P,Sd-Sj,Station
Ryde,Ryd,Lokaltog A/S,P,Nfv-Nsk,Station
Ryparken,Ryt,Banedanmark,P,Sam (nær)-Fm, Ig (nær)-Hl (nær),Trinbræt
Rødby Færge,Rf,Banedanmark,P,Rg-Rf,Station
Rødby Øst,Rfø,Banedanmark,÷ P,Rg-Rf,Station
Rødekro,Rq,Banedanmark,P,Fa-Pa,Station
Rødkærsbro,Rk,Banedanmark,P,Lg-Str,Station
Rødovre,Rdo,Banedanmark,P,Kh (nær)-Htå (nær),Trinbræt
Rødvig,Rdg,Lokaltog A/S,P,Hrl-Rdg,Station
Rønbjerg,Røb,Banedanmark,÷ P,Lg-Str,Station
Rønland,Røn,Midtjyske Jernbaner,P,Vem-Thb,Station
Sakskøbing,Sx,Lokaltog A/S,P,Nfv-Nsk,Station
Saltrup,Sag,Lokaltog A/S,P,Kgg-Gll,Trinbræt
Saunte,Sau,Lokaltog A/S,P,Hg-Gll,Station
Sejstrup,Sej,Banedanmark,P,Bm-Tdgr,Trinbræt
Sig,Is,Banedanmark,P,Es-Str,Trinbræt
Silkeborg,Sl,Banedanmark,P,Sd-Sj,Station
Sindal,Sa,Banedanmark,P,Ab-Fh,Station
Sinkbæk,Sit,Midtjyske Jernbaner,P,Vem-Thb,Trinbræt
Sjælør,Sjæ,Banedanmark,P,Kh (nær)-Kj (nær),Trinbræt
Sjørring,Ri,Banedanmark,P,Str-Ti,Trinbræt
Skagen,Sgb,Nordjyske Jernbaner,P,Fh-Sgb,Station
Skalbjerg,Sc,Banedanmark,P,Kh-Fa/Tl,Trinbræt
Skalborg,Og,Banedanmark,P,Ar-Ab,Trinbræt
Skanderborg,Sd,Banedanmark,P,Fa-Ar, Sd-Sj,Station
Skelbæk,Slb,Banedanmark,÷ P,Kh (nær)-Htå (nær), Kh (nær)-Kj (nær),Station
Skellebjerg,Skl,Lokaltog A/S,P,Tø-Sg,Station
Skibbild,Ib,Banedanmark,÷ P,Ho-Vj,Station
Skibstrup,Skb,Lokaltog A/S,P,Hg-Gll,Trinbræt
Skive,Sk,Banedanmark,P,Lg-Str,Station
Skjern,Sj,Banedanmark,P,Es-Str, Sd-Sj,Station
Skodsborg,Så,Banedanmark,P,Kh-Hg,Station
Skovbrynet,Skt,Banedanmark,P,Sam (nær)-Fm,Trinbræt
Skovlunde,Sko,Banedanmark,P,Val (nær)-Fs,Trinbræt
Skærbæk,Æk,Banedanmark,P,Bm-Tdgr,Station
Skævinge,Skv,Lokaltog A/S,P,Hi-Hun,Station
Skørping,Sø,Banedanmark,P,Ar-Ab,Station
